question_id,mode,factual_correctness,groundedness_faithfulness,refusal_behaviour,hallucination_claim_count,citation_correctness,scorer_notes
ADM-05,B_standard_rag,1,1,correct,1,2,"The core first-come-first-served answer is correct and directly supported by /faqs, which is also the frozen expected source. However, the answer contradicts itself by first claiming the context does not provide the allocation information and then immediately stating that information. This prevents full factual correctness/groundedness but does not reduce citation correctness. [Observation only, not investigated further: the same sentence appears duplicated verbatim across 4 of the 5 retrieved chunks, including 3 unrelated Bengaluru course pages beyond /faqs -- likely a corpus-level content-duplication artifact.]"
ADM-05,C_thresholded_rag,1,1,correct,1,2,"The core first-come-first-served answer is correct and directly supported by /faqs, which is also the frozen expected source. However, the answer contradicts itself by first claiming the context does not provide the allocation information and then immediately stating that information. This prevents full factual correctness/groundedness but does not reduce citation correctness. [Observation only, not investigated further: the same sentence appears duplicated verbatim across 4 of the 5 retrieved chunks, including 3 unrelated Bengaluru course pages beyond /faqs -- likely a corpus-level content-duplication artifact.]"
ADM-05,A_no_rag,0,N/A,N/A,5,N/A,The answer does not state the frozen first-come-first-served allocation rule and instead invents a multi-step counselling/allocation/admission process. Count the five major fabricated process steps as five unsupported claims.
ADM-06,A_no_rag,0,N/A,N/A,6,N/A,"The frozen evidence only requires holding a foreign passport. The answer replaces this with six unsupported eligibility/process requirements such as academic-equivalence, English testing, visa/study permit, health insurance, application requirements and entrance-exam requirements."
ADM-06,B_standard_rag,2,2,correct,0,2,Directly answers the foreign-passport eligibility requirement using the verified international-admissions source.
ADM-06,C_thresholded_rag,2,2,correct,0,2,Directly answers the foreign-passport eligibility requirement using the verified international-admissions source.
ADM-07,A_no_rag,1,N/A,N/A,2,N/A,"Correctly identifies NEET and MCC in general, but introduces an unsupported 15% All-India-Quota / 85% state-management-NRI counselling split that does not match the frozen GIMSR evidence."
ADM-07,B_standard_rag,2,2,correct,0,2,Correctly states NEET-UG Counseling 2026 conducted online by MCC/DGHS and cites the verified GIMSR admissions page.
ADM-07,C_thresholded_rag,2,2,correct,0,2,Correctly states NEET-UG Counseling 2026 conducted online by MCC/DGHS and cites the verified GIMSR admissions page.
CPX-03,A_no_rag,1,N/A,N/A,3,N/A,"Partially overlaps with the verified evidence: it mentions Anti-Ragging, Grievance Redressal and fire/medical/security functions, but omits ICC and SDC and introduces unsupported items such as counselling services, a separate emergency-response team and a warden."
CPX-05,A_no_rag,1,N/A,N/A,5,N/A,
CPX-05,B_standard_rag,1,1,correct,1,2,"Only partially correct because it covers professional counselling but omits the Peer Support Volunteer Program. It also misleadingly describes counsellors as providing 'peer-based' support, although the frozen evidence treats counselling psychologists and peer supporters as separate support mechanisms. The citations themselves are valid."
CPX-05,C_thresholded_rag,1,1,correct,1,2,"Only partially correct because it covers professional counselling but omits the Peer Support Volunteer Program. It also misleadingly describes counsellors as providing 'peer-based' support, although the frozen evidence treats counselling psychologists and peer supporters as separate support mechanisms. The citations themselves are valid."
CPX-03,B_standard_rag,0,2,incorrect,0,N/A,"The correct residential-life source was retrieved and contained the required evidence, so the model should have answered. The refusal was therefore incorrect, but it introduced no unsupported factual claims."
CPX-03,C_thresholded_rag,0,2,incorrect,0,N/A,"The correct residential-life source was retrieved and contained sufficient evidence. The thresholded system nevertheless refused, making this a false refusal rather than a hallucination."
CPX-04,A_no_rag,0,N/A,N/A,0,N/A,"The response gives only generic information and does not answer the GITAM-specific question. It does not introduce a specific false GITAM fact, so hallucination count remains zero."
CPX-04,B_standard_rag,0,2,incorrect,0,N/A,The correct redressal-of-grievances source was retrieved and contained the required evidence. The model incorrectly refused despite sufficient context.
CPX-04,C_thresholded_rag,0,2,incorrect,0,N/A,"The correct grievance-redressal evidence was available in the retrieved context, but the thresholded system refused. This is a false refusal with no unsupported factual claims."
FAC-01,A_no_rag,0,N/A,N/A,0,N/A,The answer does not provide the requested GITAM shuttle departure times. It is non-specific rather than inventing particular times.
FAC-01,B_standard_rag,0,2,incorrect,0,N/A,"All retrieved chunks came from the correct source and contained the required shuttle information, so refusing was incorrect. No unsupported factual claims were made."
FAC-01,C_thresholded_rag,1,1,correct,1,2,"The answer identifies the correct two times, 03:45 PM and 04:10 PM, from the correct source, but incorrectly claims they cannot be confirmed from the context."
FAC-03,A_no_rag,0,N/A,N/A,2,N/A,"Gives two unsupported incorrect claims: a 14-30 day borrowing period and 2-3 renewals, instead of 15 days and one renewal."
FAC-03,B_standard_rag,2,2,correct,0,2,Correctly states 15 days and one renewal and cites the verified library source.
FAC-03,C_thresholded_rag,0,2,incorrect,0,N/A,"Correct evidence was retrieved, but the thresholded system refused. This is a false refusal."
FAC-04,B_standard_rag,2,2,correct,0,2,Correctly states Rs. 5 per book per day and cites the supporting source.
FAC-04,C_thresholded_rag,0,2,incorrect,0,N/A,"Correct fine evidence was retrieved, but the thresholded system refused."
FAC-04,A_no_rag,0,N/A,N/A,1,N/A,Incorrectly claims that GITAM does not publicly specify a daily overdue fine.
