question_id,question,answerable,negative_type,category,difficulty,expected_answer,expected_source_url,evidence_text,campus,verification_status,notes,split
ADM-01,What entrance exam is required for admission to GITAM?,TRUE,,admissions/eligibility,Easy,"All students must appear for the GAT (GITAM Admission Test), a computer-based exam conducted annually at multiple centers across India.",https://www.gitam.edu/faqs,All students must appear for the GAT (GITAM Admission Test) exam conducted every year for entrance. It is a computer-based exam that you can take up from multiple centers all across India.,General,verified,"Sourced from /faqs; full cleaned text confirmed in corpus (28,619 chars total page length).",calibration
ADM-04,Does GITAM accept AP EAPCET or TS EAMCET scores for admission?,TRUE,,admissions/eligibility,Easy,"Yes, GITAM recognizes AP EAPCET and TS EAMCET scores for aspiring students.",https://www.gitam.edu/faqs,Yes! GITAM recognizes the scores of AP EAPCET and TS EAMCET for aspiring students.,General,verified,Sourced from /faqs.,calibration
ADM-05,"Once a student achieves the qualifying GAT mark, how are seats allocated at GITAM?",TRUE,,admissions/eligibility,Medium,"Eligible students may apply for a seat, and seat reservation is on a first-come-first-served basis.",https://www.gitam.edu/faqs,"Any student who attains the qualifying mark in the GAT exam can apply for a seat at GITAM. However, being proactive throughout the admission process is essential, as the reservation of seats is on a first-come-first-serve basis.",General,verified,Wording revised during review to avoid implying the qualifying mark itself determines allocation; original draft question superseded.,final_test
ADM-06,What is the eligibility requirement for a student applying to GITAM as a Foreign National (FN)?,TRUE,,admissions/eligibility,Easy,A student is eligible to apply as a Foreign National if they hold a foreign passport.,https://www.gitam.edu/international-admissions,A student is eligible to apply as a Foreign National (FN) if he/she holds a foreign passport.,General,verified,"campus=General per review: the answer itself (foreign passport requirement) does not depend on or compare campuses, even though GDIA administers this across all three; a related broken/ambiguous sentence elsewhere on this page was excluded from evidence -- see ambiguity_log.md.",final_test
ADM-07,"For the 2026-27 admission cycle, what examination and counseling process is used for admission to the MBBS programme at GITAM (GIMSR)?",TRUE,,admissions/eligibility,Easy,"For 2026-27, admission to MBBS at GIMSR is through NEET-UG Counseling 2026, conducted online by the Medical Counseling Committee (MCC), DGHS, New Delhi, for MBBS courses offered by Deemed Universities.",https://www.gitam.edu/gimsr/admissions/under-graduate,"NEET - UG Counseling 2026 is conducted online by the Medical Counseling Committee (MCC), DGHS, New Delhi for admission to MBBS Course offered by Deemed Universities.",GIMSR,verified,"Explicitly year-scoped (2026-27) since source content is admission-cycle-specific and will date; replaces ADM-03 (dropped for topical overlap with ADM-06, both being international/NRI-route questions). A garbled refund-policy table elsewhere on this page was excluded from evidence -- see ambiguity_log.md.",final_test
FEE-01,What is the application fee for candidates applying to GITAM through the GAT exam?,TRUE,,fees/scholarships,Easy,"The application fee is Rs. 1,200 for candidates applying through the GAT test.",https://www.gitam.edu/faqs,The application fee Rs.1200/- for the candidates who are applying through GAT test.,General,verified,Moved from originally-proposed ADM-02; fits fees/scholarships category better than admissions/eligibility.,calibration
FEE-02,Does the MBA programme have the same annual fee across GITAM's three campuses?,TRUE,,fees/scholarships,Medium,"No -- the MBA fee differs by campus: Rs. 4,97,000 at Visakhapatnam and Bengaluru, but Rs. 5,21,800 at Hyderabad.",https://www.gitam.edu/faqs,"University fee as per campus Programme Visakhapatnam Hyderabad Bengaluru Master of Business Administration ₹ 4,97,000 ₹ 5,21,800 ₹ 4,97,000",Multi-campus,verified,First genuine Multi-campus case: the answer itself requires comparing figures across all three campuses.,calibration
FEE-03,"What is the maximum combined scholarship percentage a student can receive across multiple scholarship categories at GITAM, and what are the exceptions?",TRUE,,fees/scholarships,Medium,"The maximum combined scholarship across all categories is 75%, except for full 100% merit scholarships and full 100% sports scholarships.",https://www.gitam.edu/fee-scholarship/student-scholarships,"The maximum total scholarship a student can receive across all categories is 75%, except: Full 100% merit scholarships, Full 100% sports scholarships.",General,verified,"This exact figure (75% cap, same two exceptions) was independently restated in two separate sections of this page ('Combination of Scholarships' and '7. Combined Scholarship Cap'), cross-checked specifically because other figures on this same page (Tier A/B income thresholds, submission deadlines, employee-children slabs) were found to CONFLICT across sections -- see ambiguity_log.md. Evidence text is verbatim from source (bullet list flattened to inline, no wording added).",final_test
FEE-04,What is the standard full-time PhD application fee and annual fee for Indian national students at GITAM?,TRUE,,fees/scholarships,Medium,"Rs. 1,200 application fee and Rs. 30,000 annual fee, with no processing fee, for the standard 3-year full-time PhD track (Indian nationals).",https://www.gitam.edu/fee-scholarship/fee-structure,"Full-Time (Indian Nationals) 3 Years INR 1,200 INR 30,000 NIL",General,verified,"Identical figures appear across every discipline block on this page, and were independently corroborated on separate campus-specific PhD course pages seen earlier (Hyderabad, Visakhapatnam, Bengaluru CS PhD) -- treated as campus-invariant on that basis. The page's UG/PG programme-specific fees were NOT used due to unclear campus attribution -- see ambiguity_log.md.",final_test
FEE-05,"For the 2026-27 admission cycle, what MBBS tuition fee concession does a candidate with a NEET rank between 1 and 25,000 receive at GIMSR?",TRUE,,fees/scholarships,Medium,"A candidate with a NEET 2026 rank between 1 and 25,000 receives a 100% scholarship, i.e. a full fee concession of approximately Rs. 25,37,000.",https://www.gitam.edu/gimsr/admissions/under-graduate,"NEET 2026 Ranks 1 to 25,000 Scholarship 100% Fee Concession (Apporx. Rs. in Lakhs) 25,37,000",GIMSR,verified,Explicitly year-scoped (2026-27) as NEET rank thresholds are admission-cycle-specific and will date.,final_test
